Year,Month,Landfill,Trips,Tonnage,Month_Number,Quarter,Festive_Period,Population_Density,Landfill_Encoded
2022,JUL,Epe,2413,22849.5,,,0,7000,2
2022,JUL,Ikorodu,15387,143669,,,0,11000,3
2022,AUG,Olusosun,9008,85680,,,0,15000,4
2022,AUG,Abule-Egba,4931,44664,,,0,12000,0
2022,AUG,Solous,111,999,,,0,13000,5
2022,AUG,Badagry,1380,13961,,,0,8000,1
2022,AUG,Epe,1601,15491.5,,,0,7000,2
2022,AUG,Ikorodu,17031,160795.5,,,0,11000,3
2022,SEP,Olusosun,9171,88571,,,0,15000,4
2022,SEP,Abule-Egba,3999,36144,,,0,12000,0
2022,SEP,Solous,68,612,,,0,13000,5
2022,SEP,Badagry,1295,12479,,,0,8000,1
2022,SEP,Epe,1251,12289,,,0,7000,2
2022,SEP,Ikorodu,15784,150095,,,0,11000,3
2022,OCT,Olusosun,8938,86856,,,0,15000,4
2022,OCT,Abule-Egba,4885,44209,,,0,12000,0
2022,OCT,Solous,113,1067,,,0,13000,5
2022,OCT,Badagry,1355,13130,,,0,8000,1
2022,OCT,Epe,1368,13398,,,0,7000,2
2022,OCT,Ikorodu,16659,158660,,,0,11000,3
2023,JAN,Olusosun,9416,92491,,,0,15000,4
2023,JAN,Abule-Egba,5178,47240,,,0,12000,0
2023,JAN,Solous,146,1409,,,0,13000,5
2023,JAN,Badagry,1339,12906,,,0,8000,1
2023,JAN,Epe,1350,13456,,,0,7000,2
2023,JAN,Ikorodu,62943,167502,,,0,11000,3
2023,FEB,Olusosun,7461,72853,,,0,15000,4
2023,FEB,Abule-Egba,4252,38538,,,0,12000,0
2023,FEB,Solous,129,1161,,,0,13000,5
2023,FEB,Badagry,1142,10678,,,0,8000,1
2023,FEB,Epe,1121,10949.5,,,0,7000,2
2023,FEB,Ikorodu,30484,134179.5,,,0,11000,3
2023,MAR,Olusosun,9043,87805,,,0,15000,4
2023,MAR,Abule-Egba,4798,43517,,,0,12000,0
2023,MAR,Solous,150,1350,,,0,13000,5
2023,MAR,Badagry,1251,11897.5,,,0,8000,1
2023,MAR,Epe,803,7870,,,0,7000,2
2023,MAR,Ikorodu,35252.5,152439.5,,,0,11000,3
2023,APR,Olusosun,8907,86341,,,0,15000,4
2023,APR,Abule-Egba,4753,43582,,,0,12000,0
2023,APR,Solous,132,1188,,,0,13000,5
2023,APR,Badagry,1140,10800,,,0,8000,1
2023,APR,Epe,1058,10681,,,0,7000,2
2023,APR,Ikorodu,15990,152592,,,0,11000,3
2023,MAY,Olusosun,9928,95351,5.0,2.0,0,15000,4
2023,MAY,Abule-Egba,4733,43012,5.0,2.0,0,12000,0
2023,MAY,Solous,170,1530,5.0,2.0,0,13000,5
2023,MAY,Badagry,1285,12270,5.0,2.0,0,8000,1
2023,MAY,Epe,1055,11007.5,5.0,2.0,0,7000,2
2023,MAY,Ikorodu,17171,163170.5,5.0,2.0,0,11000,3
2023,JUN,Olusosun,9471,163616,,,0,15000,4
2023,JUN,Abule-Egba,7495,68000,,,0,12000,0
2023,JUN,Solous,257,2313,,,0,13000,5
2023,JUN,Badagry,2048,19147,,,0,8000,1
2023,JUN,Epe,1838,18718,,,0,7000,2
2023,JUN,Ikorodu,28672,271794,,,0,11000,3
2023,JUL,Olusosun,8971,86261,,,0,15000,4
2023,JUL,Abule-Egba,2727,24783,,,0,12000,0
2023,JUL,Solous,121,1089,,,0,13000,5
2023,JUL,Badagry,1155,10760,,,0,8000,1
